raceId,year,round,circuitId,driverId,constructorId,grid,positionOrder
472,1982,6,6,118,53,0,24
472,1982,6,6,197,45,0,25
472,1982,6,6,195,57,0,26
472,1982,6,6,170,53,0,27
472,1982,6,6,204,45,0,28
472,1982,6,6,196,37,0,29
472,1982,6,6,192,56,0,30
472,1982,6,6,208,37,0,31
473,1982,7,37,187,1,17,1
473,1982,7,37,158,27,9,2
473,1982,7,37,202,6,4,3
473,1982,7,37,177,3,3,4
473,1982,7,37,206,3,12,5
473,1982,7,37,172,27,13,6
473,1982,7,37,200,37,18,7
473,1982,7,37,176,21,19,8
473,1982,7,37,205,25,20,9
473,1982,7,37,163,4,15,10
473,1982,7,37,192,56,26,11
473,1982,7,37,117,4,1,12
473,1982,7,37,95,32,7,13
473,1982,7,37,182,1,10,14
473,1982,7,37,105,25,16,15
473,1982,7,37,152,51,6,16
473,1982,7,37,173,32,8,17
473,1982,7,37,194,54,25,18
473,1982,7,37,195,57,11,19
473,1982,7,37,119,34,14,20
473,1982,7,37,110,51,2,21
473,1982,7,37,197,45,22,22
473,1982,7,37,181,54,5,23
473,1982,7,37,196,37,21,24
473,1982,7,37,184,21,24,25
473,1982,7,37,204,45,23,26
473,1982,7,37,208,37,0,27
473,1982,7,37,137,34,0,28
473,1982,7,37,136,55,0,29
474,1982,8,7,137,34,4,1
474,1982,8,7,119,34,8,2
474,1982,8,7,187,1,6,3
474,1982,8,7,173,32,10,4
474,1982,8,7,176,21,16,5
474,1982,8,7,110,51,9,6
474,1982,8,7,206,3,13,7
474,1982,8,7,184,21,17,8
474,1982,8,7,202,6,1,9
474,1982,8,7,158,27,12,10
474,1982,8,7,200,37,22,11
474,1982,8,7,205,25,26,12
474,1982,8,7,177,3,7,13
474,1982,8,7,196,37,21,14
474,1982,8,7,105,25,15,15
474,1982,8,7,117,4,3,16
474,1982,8,7,163,4,2,17
474,1982,8,7,194,54,24,18
474,1982,8,7,182,1,11,19
474,1982,8,7,172,27,19,20
474,1982,8,7,195,57,20,21
474,1982,8,7,152,51,5,22
474,1982,8,7,95,32,14,23
474,1982,8,7,197,45,18,24
474,1982,8,7,204,45,23,25
474,1982,8,7,209,55,25,26
474,1982,8,7,181,54,0,27
474,1982,8,7,208,37,0,28
474,1982,8,7,192,56,0,29
475,1982,9,39,202,6,4,1
475,1982,9,39,137,34,3,2
475,1982,9,39,177,3,7,3
475,1982,9,39,182,1,5,4
475,1982,9,39,206,3,12,5
475,1982,9,39,184,21,16,6
475,1982,9,39,105,25,14,7
475,1982,9,39,175,6,6,8
475,1982,9,39,187,1,11,9
475,1982,9,39,176,21,17,10
475,1982,9,39,152,51,8,11
475,1982,9,39,181,54,18,12
475,1982,9,39,194,54,25,13
475,1982,9,39,197,45,23,14
475,1982,9,39,119,34,10,15
475,1982,9,39,200,37,24,16
475,1982,9,39,136,55,26,17
475,1982,9,39,173,32,15,18
475,1982,9,39,110,51,9,19
475,1982,9,39,117,4,2,20
475,1982,9,39,163,4,1,21
475,1982,9,39,205,25,20,22
475,1982,9,39,196,37,22,23
475,1982,9,39,192,56,19,24
475,1982,9,39,118,53,13,25
475,1982,9,39,172,27,21,26
475,1982,9,39,195,57,0,27
475,1982,9,39,170,53,0,28
475,1982,9,39,158,27,0,29
475,1982,9,39,90,32,0,30
475,1982,9,39,208,37,0,31
476,1982,10,38,182,1,5,1
476,1982,10,38,202,6,4,2
476,1982,10,38,175,6,13,3
476,1982,10,38,173,32,7,4
476,1982,10,38,206,3,10,5
476,1982,10,38,117,4,8,6
476,1982,10,38,152,51,14,7
476,1982,10,38,205,25,17,8
476,1982,10,38,184,21,26,9
476,1982,10,38,200,37,25,10
476,1982,10,38,110,51,11,11
476,1982,10,38,158,27,24,12
476,1982,10,38,176,21,22,13
476,1982,10,38,177,3,1,14
476,1982,10,38,105,25,9,15
476,1982,10,38,172,27,20,16
476,1982,10,38,118,53,16,17
476,1982,10,38,95,32,23,18
476,1982,10,38,137,34,3,19
476,1982,10,38,195,57,19,20
476,1982,10,38,197,45,18,21
476,1982,10,38,192,56,21,22
476,1982,10,38,187,1,12,23
476,1982,10,38,119,34,2,24
476,1982,10,38,163,4,6,25
476,1982,10,38,170,53,15,26
476,1982,10,38,181,54,0,27
476,1982,10,38,136,55,0,28
476,1982,10,38,194,54,0,29
476,1982,10,38,196,37,0,30
477,1982,11,34,163,4,1,1
477,1982,11,34,117,4,2,2
477,1982,11,34,202,6,3,3
477,1982,11,34,175,6,5,4
477,1982,11,34,177,3,10,5
477,1982,11,34,105,25,15,6
477,1982,11,34,206,3,11,7
477,1982,11,34,182,1,9,8
477,1982,11,34,152,51,8,9
477,1982,11,34,205,25,23,10
477,1982,11,34,181,54,18,11
